place_id,review_type,1st_topic,2nd_topic,3rd_topic,name,region,reviews_link
ChIJ-agK9nwy_kcRMpwuH0-iXl8,negatif,examen et consultation,professionnalisme,prise en charge d'urgence 1,hôpital de jour pédopsychiatrie patipata (antenne du centre hospitalier camille claudel),Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ-agK9nwy_kcRMpwuH0-iXl8&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ-eQN8Ve_yRIRAYYnKUC7WtY,negatif,mauvaise expérience,attente,locaux et accès,hôpitaux universitaires de marseille - ap-hm,Provence-Alpes-Côte d'Azur,https://search.google.com/local/reviews?placeid=ChIJ-eQN8Ve_yRIRAYYnKUC7WtY&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ-eQN8Ve_yRIRAYYnKUC7WtY,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 1,hôpitaux universitaires de marseille - ap-hm,Provence-Alpes-Côte d'Azur,https://search.google.com/local/reviews?placeid=ChIJ-eQN8Ve_yRIRAYYnKUC7WtY&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ-fCWBwIc90cRt52oYK_sQto,negatif,attente,examen et consultation,mauvaise expérience,chu clermont-fd site estaing,Auvergne-Rhône-Alpes,https://search.google.com/local/reviews?placeid=ChIJ-fCWBwIc90cRt52oYK_sQto&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ-fCWBwIc90cRt52oYK_sQto,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,chu clermont-fd site estaing,Auvergne-Rhône-Alpes,https://search.google.com/local/reviews?placeid=ChIJ-fCWBwIc90cRt52oYK_sQto&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ-x0yX5gt_kcRz9tbnV7qPJg,negatif,prise en charge d'urgence 2,prise en charge d'urgence 1,examen et consultation,centre hospitalier camille claudel,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ-x0yX5gt_kcRz9tbnV7qPJg&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ-x0yX5gt_kcRz9tbnV7qPJg,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,examen et consultation,centre hospitalier camille claudel,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ-x0yX5gt_kcRz9tbnV7qPJg&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ04VSWevV_EcREK8gRSD2yFg,negatif,attente,personnel désagréable,examen et consultation,chru hôpitaux de tours,Centre-Val de Loire,https://search.google.com/local/reviews?placeid=ChIJ04VSWevV_EcREK8gRSD2yFg&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ04VSWevV_EcREK8gRSD2yFg,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,chru hôpitaux de tours,Centre-Val de Loire,https://search.google.com/local/reviews?placeid=ChIJ04VSWevV_EcREK8gRSD2yFg&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ06bynH7C9EcRIR7KR0X3JD4,negatif,attente,mauvaise expérience,personnel désagréable,groupe hospitalier les portes du sud,Auvergne-Rhône-Alpes,https://search.google.com/local/reviews?placeid=ChIJ06bynH7C9EcRIR7KR0X3JD4&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ06bynH7C9EcRIR7KR0X3JD4,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,maternité,groupe hospitalier les portes du sud,Auvergne-Rhône-Alpes,https://search.google.com/local/reviews?placeid=ChIJ06bynH7C9EcRIR7KR0X3JD4&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ0RNXzBcsrhIRkvg9K7VTVhg,positif,personnel agréable et à l'écoute,locaux et accès,professionnalisme,centre hospitalier de carcassonne - camsp,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ0RNXzBcsrhIRkvg9K7VTVhg&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ0_TSR4ar9UcRrTGj6FJa4J0,negatif,mauvaise expérience,attente,examen et consultation,chu nord saint-étienne,Auvergne-Rhône-Alpes,https://search.google.com/local/reviews?placeid=ChIJ0_TSR4ar9UcRrTGj6FJa4J0&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ0_TSR4ar9UcRrTGj6FJa4J0,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,chu nord saint-étienne,Auvergne-Rhône-Alpes,https://search.google.com/local/reviews?placeid=ChIJ0_TSR4ar9UcRrTGj6FJa4J0&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ0ckTJnu7rhIRlWXLRRimxZE,negatif,attente,personnel désagréable,personnel agréable et à l'écoute,hôtel-dieu saint-jacques,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ0ckTJnu7rhIRlWXLRRimxZE&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ0ckTJnu7rhIRlWXLRRimxZE,positif,locaux et accès,professionnalisme,personnel agréable et à l'écoute,hôtel-dieu saint-jacques,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ0ckTJnu7rhIRlWXLRRimxZE&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ1U2fErqeVA0RvoPdMj3sllE,negatif,attente,examen et consultation,prise en charge d'urgence 2,centre hospitalier d'arcachon,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ1U2fErqeVA0RvoPdMj3sllE&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ1U2fErqeVA0RvoPdMj3sllE,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,professionnalisme,centre hospitalier d'arcachon,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ1U2fErqeVA0RvoPdMj3sllE&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ1UCV-BxLshIRzUx5vB9PNSU,negatif,examen et consultation,mauvaise expérience,professionnalisme,centre hospitalier de millau,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ1UCV-BxLshIRzUx5vB9PNSU&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ1UCV-BxLshIRzUx5vB9PNSU,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,maternité,centre hospitalier de millau,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ1UCV-BxLshIRzUx5vB9PNSU&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ1d3smcUOAEgRm5kSrTpGiRw,negatif,personnel désagréable,mauvaise expérience,prise en charge d'urgence 1,centre hospitalier de boscamnant,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ1d3smcUOAEgRm5kSrTpGiRw&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ1d3smcUOAEgRm5kSrTpGiRw,positif,personnel agréable et à l'écoute,locaux et accès,professionnalisme,centre hospitalier de boscamnant,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ1d3smcUOAEgRm5kSrTpGiRw&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ1f3uCcd9shIRfQYwfjlHsuw,negatif,prise en charge d'urgence 2,attente,locaux et accès,centre hospitalier les peyrières,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ1f3uCcd9shIRfQYwfjlHsuw&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ1wdnHC5JVQ0R9D3BtoQrUks,negatif,prise en charge d'urgence 1,mauvaise expérience,prise en charge d'urgence 2,centre hospitalier de garderose,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ1wdnHC5JVQ0R9D3BtoQrUks&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ1xu69n67FkgRpJD11Een94s,negatif,personnel désagréable,examen et consultation,prise en charge d'urgence 1,hôpital de bohars,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ1xu69n67FkgRpJD11Een94s&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ1xu69n67FkgRpJD11Een94s,positif,prise en charge d'urgence 2,professionnalisme,examen et consultation,hôpital de bohars,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ1xu69n67FkgRpJD11Een94s&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ20M5q3HZ-kcRtKURyhsM1Lg,negatif,attente,examen et consultation,maternité,centre hospitalier de vierzon,Centre-Val de Loire,https://search.google.com/local/reviews?placeid=ChIJ20M5q3HZ-kcRtKURyhsM1Lg&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ20M5q3HZ-kcRtKURyhsM1Lg,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,professionnalisme,centre hospitalier de vierzon,Centre-Val de Loire,https://search.google.com/local/reviews?placeid=ChIJ20M5q3HZ-kcRtKURyhsM1Lg&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ22LuTNybVA0RO0DXVklyXSo,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,locaux et accès,centre hospitalier d'arcachon service des urgences,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ22LuTNybVA0RO0DXVklyXSo&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ2TgsRJxarhIRGb_MI3QsCXE,negatif,attente,mauvaise expérience,prise en charge d'urgence 1,centre hospitalier jean-pierre cassabel,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ2TgsRJxarhIRGb_MI3QsCXE&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ2TgsRJxarhIRGb_MI3QsCXE,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,professionnalisme,centre hospitalier jean-pierre cassabel,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ2TgsRJxarhIRGb_MI3QsCXE&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ2YasZDGdqRIRvwIRFFkhCA8,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier d'auch,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ2YasZDGdqRIRvwIRFFkhCA8&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ2YasZDGdqRIRvwIRFFkhCA8,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier d'auch,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ2YasZDGdqRIRvwIRFFkhCA8&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ2yKWGsErEkgRhqZVqwzi-Mw,negatif,examen et consultation,attente,personnel désagréable,centre hospitalier lannion-trestel,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ2yKWGsErEkgRhqZVqwzi-Mw&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ2yKWGsErEkgRhqZVqwzi-Mw,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier lannion-trestel,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ2yKWGsErEkgRhqZVqwzi-Mw&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ30A4TBwk1xIR4238-GRJ94g,negatif,professionnalisme,mauvaise expérience,personnel désagréable,brasserie de l'hôpital,Corse,https://search.google.com/local/reviews?placeid=ChIJ30A4TBwk1xIR4238-GRJ94g&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ30A4TBwk1xIR4238-GRJ94g,positif,personnel agréable et à l'écoute,locaux et accès,professionnalisme,brasserie de l'hôpital,Corse,https://search.google.com/local/reviews?placeid=ChIJ30A4TBwk1xIR4238-GRJ94g&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ31faIotR80cRaupj9pPao18,negatif,attente,mauvaise expérience,examen et consultation,centre hospitalier de bourg-en-bresse / fleyriat,Auvergne-Rhône-Alpes,https://search.google.com/local/reviews?placeid=ChIJ31faIotR80cRaupj9pPao18&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ31faIotR80cRaupj9pPao18,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de bourg-en-bresse / fleyriat,Auvergne-Rhône-Alpes,https://search.google.com/local/reviews?placeid=ChIJ31faIotR80cRaupj9pPao18&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ34zFHLrAD0gRRjmmswZRWKs,positif,professionnalisme,personnel agréable et à l'écoute,mauvaise expérience,ehpad de malestroit,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ34zFHLrAD0gRRjmmswZRWKs&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ39SVWaZF8EcR9ueyJkQpVDA,negatif,examen et consultation,attente,mauvaise expérience,hôpital pierre-beregovoy,Bourgogne-Franche-Comté,https://search.google.com/local/reviews?placeid=ChIJ39SVWaZF8EcR9ueyJkQpVDA&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ39SVWaZF8EcR9ueyJkQpVDA,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,hôpital pierre-beregovoy,Bourgogne-Franche-Comté,https://search.google.com/local/reviews?placeid=ChIJ39SVWaZF8EcR9ueyJkQpVDA&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ3R4joMwvDkgR1JCknlOs_lQ,negatif,prise en charge d'urgence 2,mauvaise expérience,examen et consultation,centre hospitalier du centre bretagne (chcb),Bretagne,https://search.google.com/local/reviews?placeid=ChIJ3R4joMwvDkgR1JCknlOs_lQ&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ3R4joMwvDkgR1JCknlOs_lQ,positif,personnel agréable et à l'écoute,examen et consultation,professionnalisme,centre hospitalier du centre bretagne (chcb),Bretagne,https://search.google.com/local/reviews?placeid=ChIJ3R4joMwvDkgR1JCknlOs_lQ&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ3RVa1gUdDkgRvxCNPJ1tizM,negatif,attente,examen et consultation,mauvaise expérience,hôpital de la cavale blanche,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ3RVa1gUdDkgRvxCNPJ1tizM&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ3RVa1gUdDkgRvxCNPJ1tizM,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,hôpital de la cavale blanche,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ3RVa1gUdDkgRvxCNPJ1tizM&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ3VoDnWIk1xIRbC-AVBFgOeE,negatif,prise en charge d'urgence 2,personnel désagréable,locaux et accès,hospitalisation à domicile de corse,Corse,https://search.google.com/local/reviews?placeid=ChIJ3VoDnWIk1xIRbC-AVBFgOeE&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ3VoDnWIk1xIRbC-AVBFgOeE,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,hospitalisation à domicile de corse,Corse,https://search.google.com/local/reviews?placeid=ChIJ3VoDnWIk1xIRbC-AVBFgOeE&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ3cnKCdUWrRIRFuIZjiuBec4,negatif,mauvaise expérience,attente,personnel désagréable,centre hospitalier de figeac,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ3cnKCdUWrRIRFuIZjiuBec4&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ3cnKCdUWrRIRFuIZjiuBec4,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier de figeac,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ3cnKCdUWrRIRFuIZjiuBec4&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ4T_h6ej65UcR_mOmRYePBjI,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier de melun,Île-de-France,https://search.google.com/local/reviews?placeid=ChIJ4T_h6ej65UcR_mOmRYePBjI&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ4T_h6ej65UcR_mOmRYePBjI,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,maternité,centre hospitalier de melun,Île-de-France,https://search.google.com/local/reviews?placeid=ChIJ4T_h6ej65UcR_mOmRYePBjI&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ4_GvnRcWyhIR55LZMG3bsAI,negatif,personnel désagréable,prise en charge d'urgence 2,mauvaise expérience,"centre hospitalier du pays d'apt, services d'urgences",Provence-Alpes-Côte d'Azur,https://search.google.com/local/reviews?placeid=ChIJ4_GvnRcWyhIR55LZMG3bsAI&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ4_GvnRcWyhIR55LZMG3bsAI,positif,personnel agréable et à l'écoute,examen et consultation,maternité,"centre hospitalier du pays d'apt, services d'urgences",Provence-Alpes-Côte d'Azur,https://search.google.com/local/reviews?placeid=ChIJ4_GvnRcWyhIR55LZMG3bsAI&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ4xJ5yE7BFkgRgneBbzk4QiM,negatif,professionnalisme,mauvaise expérience,attente,hôpital de la presqu'île de crozon,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ4xJ5yE7BFkgRgneBbzk4QiM&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ4xJ5yE7BFkgRgneBbzk4QiM,positif,attente,prise en charge d'urgence 1,personnel agréable et à l'écoute,hôpital de la presqu'île de crozon,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ4xJ5yE7BFkgRgneBbzk4QiM&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ52TkG5OrFkgRihwKVHOsXTk,negatif,mauvaise expérience,attente,personnel désagréable,centre de jour ty guen,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ52TkG5OrFkgRihwKVHOsXTk&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ5YIhowjeDkgRKIhB1luQrUg,negatif,attente,mauvaise expérience,examen et consultation,centre hospitalier privé saint-grégoire,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ5YIhowjeDkgRKIhB1luQrUg&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ5YIhowjeDkgRKIhB1luQrUg,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier privé saint-grégoire,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ5YIhowjeDkgRKIhB1luQrUg&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ5ab3ZDJB9kcRQmgpOlilRHM,negatif,attente,examen et consultation,personnel désagréable,centre hospitalier de brioude,Auvergne-Rhône-Alpes,https://search.google.com/local/reviews?placeid=ChIJ5ab3ZDJB9kcRQmgpOlilRHM&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ5ab3ZDJB9kcRQmgpOlilRHM,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,centre hospitalier de brioude,Auvergne-Rhône-Alpes,https://search.google.com/local/reviews?placeid=ChIJ5ab3ZDJB9kcRQmgpOlilRHM&q=centre+hospitalier+%252B+France&authuser=0&hl=fr&gl=FR
ChIJ5bFAAGAHBEgR0CDPWoDiUig,negatif,prise en charge d'urgence 1,mauvaise expérience,professionnalisme,hôpital saint-honoré - ile de ré - groupe hospitalier de la rochelle-ré-aunis,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ5bFAAGAHBEgR0CDPWoDiUig&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ5bFAAGAHBEgR0CDPWoDiUig,positif,prise en charge d'urgence 2,personnel agréable et à l'écoute,attente,hôpital saint-honoré - ile de ré - groupe hospitalier de la rochelle-ré-aunis,Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ5bFAAGAHBEgR0CDPWoDiUig&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ5dfGBlPnDkgRbJbJNx8lZtk,positif,personnel agréable et à l'écoute,prise en charge d'urgence 1,attente,diwall (centre médico-psychologique),Bretagne,https://search.google.com/local/reviews?placeid=ChIJ5dfGBlPnDkgRbJbJNx8lZtk&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ5fiAB_1_5EcR53Mx77ZOSa0,negatif,attente,examen et consultation,personnel désagréable,centre hospitalier,Centre-Val de Loire,https://search.google.com/local/reviews?placeid=ChIJ5fiAB_1_5EcR53Mx77ZOSa0&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ5fiAB_1_5EcR53Mx77ZOSa0,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier,Centre-Val de Loire,https://search.google.com/local/reviews?placeid=ChIJ5fiAB_1_5EcR53Mx77ZOSa0&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ5flzHjPID0gRDgM3Kz8aQKc,negatif,attente,prise en charge d'urgence 2,examen et consultation,centre hospitalier alphonse guérin,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ5flzHjPID0gRDgM3Kz8aQKc&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ5flzHjPID0gRDgM3Kz8aQKc,positif,personnel agréable et à l'écoute,prise en charge d'urgence 2,professionnalisme,centre hospitalier alphonse guérin,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ5flzHjPID0gRDgM3Kz8aQKc&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ5w9i5_myqxIRHbJT7ORT-Xo,negatif,attente,examen et consultation,mauvaise expérience,centre hospitalier agen-nérac (site d’agen),Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ5w9i5_myqxIRHbJT7ORT-Xo&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ5w9i5_myqxIRHbJT7ORT-Xo,positif,personnel agréable et à l'écoute,maternité,prise en charge d'urgence 2,centre hospitalier agen-nérac (site d’agen),Nouvelle-Aquitaine,https://search.google.com/local/reviews?placeid=ChIJ5w9i5_myqxIRHbJT7ORT-Xo&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ5yNAqXR-shIR9r649n8aCLI,negatif,mauvaise expérience,attente,prise en charge d'urgence 2,centre hospitalier sainte-marie rodez,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ5yNAqXR-shIR9r649n8aCLI&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ5yNAqXR-shIR9r649n8aCLI,positif,personnel agréable et à l'écoute,professionnalisme,prise en charge d'urgence 2,centre hospitalier sainte-marie rodez,Occitanie,https://search.google.com/local/reviews?placeid=ChIJ5yNAqXR-shIR9r649n8aCLI&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ62xIDt7MEUgR8-ORrroHy9Q,negatif,personnel désagréable,mauvaise expérience,examen et consultation,centre médico-psychologique (cmp),Bretagne,https://search.google.com/local/reviews?placeid=ChIJ62xIDt7MEUgR8-ORrroHy9Q&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ62xIDt7MEUgR8-ORrroHy9Q,positif,personnel agréable et à l'écoute,personnel désagréable,prise en charge d'urgence 2,centre médico-psychologique (cmp),Bretagne,https://search.google.com/local/reviews?placeid=ChIJ62xIDt7MEUgR8-ORrroHy9Q&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ63RvdqqzFkgROr2xPqKtDIA,negatif,attente,mauvaise expérience,examen et consultation,centre hospitalier ferdinand grall,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ63RvdqqzFkgROr2xPqKtDIA&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
ChIJ63RvdqqzFkgROr2xPqKtDIA,positif,personnel agréable et à l'écoute,maternité,prise en charge d'urgence 2,centre hospitalier ferdinand grall,Bretagne,https://search.google.com/local/reviews?placeid=ChIJ63RvdqqzFkgROr2xPqKtDIA&q=centre+hospitalier&authuser=0&hl=fr&gl=FR
